,제목,장르,년도,줄거리,평점
21,레이싱 인 더 레인,"로맨스, 코미디, 드라마, 스포츠",(2019),"래브라도와 테리어 혼혈견 엔조는 스스로 다른 개들과는 다르다고 생각한다. 자기 자신의 몸속에는 인간의 영혼이 깃들어 있다고 믿는 것. 그런 엔조이기에 사랑하는 주인 데니와 의사소통할 수 있는 수단이 제스처밖에 없다는 현실에 좌절감을 느끼기도 한다. 주인 데니는 프로페셔널 카레이서가 되기 위한 사전 준비로 시애틀에 있는 한 자동차 정비소에서 일한다. 엔조는 TV에서 카레이싱을 보며 갖가지 인간사회의 지식들을 배운다. 엔조는 데니와 함께 행복한 시절을 보내지만 둘만의 사이에 이브가 나타난다. 이브와 사랑에 빠진 데니는 곧바로 결혼하게 되고, 둘은 곧 조위라는 예쁜 딸을 낳는다. 그러나 얼마 지나지 않아 엔조는 이브의 건강에 심각한 문제가 있다는 것을 예민한 후각으로 눈치 챈다. 조위가 아장아장 걷기 시작할 무렵, 이브는 심한 두통에 시달리지만 한사코 병원에 가지 않겠다고 고집을 부리다가 결국 때를 놓치게 된다. 이브의 고통스러운 투병 생활과 함께 데니의 가족에게는 시련이 닥친다. 데니를 사위로 인정하지 않던 이브의 부모가 나타나 노골적인 간섭을 시작하고, 급기야 이브가 세상을 떠나면서 조위의 양육권을 둘러싸고 법정싸움을 전개한다. 데니는 송사를 벌이는 동안 재산이 바닥나고, 함정에 빠져 더 큰 문제에 휘말리게 된다. 모든 희망을 잃게 될 무렵, 유일하게 곁을 지키는 엔조는 데니의 재기를 위한 정신적 발판이 되는데….",7.5 (33k)
22,어벤져스: 엔드게임,"SF, 액션, 판타지, 드라마",(2019),"어벤져스의 패배 이후 지구는 초토화됐고 남은 절반의 사람들은 정신적 고통을 호소하며 하루하루를 근근이 버텨나간다. 와칸다에서 싸우다 생존한 히어로들과 우주의 타이탄 행성에서 싸우다 생존한 히어로들이 뿔뿔이 흩어졌는데, 아이언맨과 네뷸라는 우주를 떠돌고 있고 지구에 남아 있는 어벤져스 멤버들은 닉 퓨리가 마지막에 신호를 보내다 만 송신기만 들여다보며 혹시 모를 우주의 응답을 기다리는 중이다. 애초 히어로의 삶을 잠시 내려놓고 가족과 시간을 보내던 호크아이 역시 헤아릴 수 없는 마음의 상처를 입은 채 사라지고 마는데...",8.4 (1m)
23,해밀턴,"드라마, 음악, 역사",(2020),"1776년 미국, 훗날 미국 건국의 주역이 되는 알렉산더 해밀턴은 혁명 전야의 뉴욕에 도착하고, 그곳에서 처음으로 애런 버를 만난다. 해밀턴은 버가 자신과 마찬가지로 부모를 어린 나이에 잃었고 대학을 2년만에 졸업한 엄청난 능력의 소유자 임을 알고 유대감을 느낀다. 한편 버의 친구들인 존 로렌스, 허큘리스 멀리건, 그리고 라파예트 후작은 해밀턴의 열정과 추진력에 이끌리고, 혁명을 위해 뜻을 같이 할 것을 다짐한다. 곧이어 영국 국왕 조지 3세가 군대를 파병하며 본격적인 전쟁이 시작되고, 미국군 총사령관 조지 워싱턴은 병사의 사기가 떨어질대로 떨어지고 무기와 전략 모든 면에서 밀리는 상황에 참모가 필요함을 느낀다. 이때 버가 나서 오른팔이 되기를 청하지만, 워싱턴은 그 대신 해밀턴을 택하는데...",8.4 (83k)
24,크루엘라,"코미디, 범죄, 드라마",(2021),"재능은 있지만 밑바닥 인생을 살던 에스텔라는 우여곡절 끝에 런던에 오게 된다. 그곳에서 운명처럼 재스퍼와 호레이스를 만난 에스텔라는 뛰어난 패션 감각을 이용해 완벽한 변장과 빠른 손놀림으로 런던 거리를 싹쓸이한다. 도둑질이 지겹게 느껴질 때 쯤, 꿈에 그리던 리버티 백화점에 들어가게 된 에스텔라. 그곳에서 런던 패션계를 꽉 쥐고 있는 남작 부인을 만나 충격적 사건을 겪게 되며, 에스텔라는 런던 패션계를 발칵 뒤집을 파격 아이콘 크루엘라로 새롭게 태어나게 되는데...",7.3 (239k)
25,The Rescue,"다큐멘터리, 액션, 스릴러, 드라마",(2021),"2018년 태국 북부의 침수된 동굴 깊숙한 곳에서 조난당한 유소년 축구선수 12명과 그들의 코치를 구출하기 위한 구조요원, 봉사요원, 군당국의 노력과 헌신, 그리고 전세계의 관심을 다룬 영화",8.4 (9k)
26,칩과 데일: 다람쥐 구조대,"애니메이션, 가족, SF, 코미디, 범죄, 판타지, 액션",(2022),"30년 만에 컴백하게 된 ""칩과 데일 다람쥐 구조대""는 예전 디즈니 만화동산의 스타들을 현대 LA로 불러낸다. 이 실사/CG 하이브리드 액션 코미디 애니메이션에서 칩과 데일은 현대 LA의 만화와 인간과 더불어 살고 있는데 그들의 삶은 예전과는 사뭇 다르다. 수십 년 전 그들의 잘나가던 TV시리즈가 종영되면서 칩(목소리 존 멀레이니)은 다 내려놓고 보험 세일즈맨으로 교외에서 평범한 생활을 하고 있다. 반면 데일(목소리 앤디 샌드버그)은 3D성형도 받고 왕년의 영광을 되찾고픈 절박한 마음으로 캐릭터 컨벤션에 참여한다. 그러다 예전 시리즈의 동료 하나가 사라지자 칩과 데일은 그 친구를 구하기 위해 깨졌던 우정을 회복하고 다시금 다람쥐 구조대의 수사 활동을 재개해야 하게 된다.",7.0 (42k)
27,레트로그레이드,"역사, 전쟁, 다큐멘터리",(2022),"아프가니스탄에서 마지막으로 철수한 미군 부대 사람들과 그들과 함께 작전을 수행했던 아프가니스탄 군인들, 그리고 필사적으로 탈출하려는 아프가니스탄 민간인들의 이야기를 그리고 있다. 갑작스러운 철군에 그동안 동고동락을 함께 했던 아프가니스탄 군인 동료들을 두고 떠나야 하는 미군 부대원들의 좌절감, 그리고 미군이 떠난 후 어떻게든 탈레반의 공격을 스스로 막아내야 하는 아프가니스탄 장군의 고군분투가 생생하게 담겨있다.",7.4
28,샹치와 텐 링즈의 전설,"액션, 판타지, SF, 코미디",(2021),초인적인 능력을 가진 텐 링즈의 힘으로 수세기 동안 어둠의 세상을 지배해 온 웬우. 샹치는 아버지 웬우 밑에서 암살자로 훈련을 받았지만 이를 거부하고 평범함 삶을 선택한다. 샌프란시스코로 떠나와 자신의 진짜 이름을 숨긴 채 션이란 가명으로 살아가는 샹치. 웬우가 수장으로 있는 조직 텐 링즈의 일원인 레이저 피스트가 찾아와 샹치의 펜던트를 훔쳐가자 샹치는 친구 케이티와 함께 연이 끊겼던 동생 샤링을 염려하며 그녀가 숨어 지내는 마카오로 찾아간다. 텐 링즈의 마법 같은 힘을 통해 수천년 동안 지구의 역사를 혼란에 빠뜨렸던 웬우는 자신의 아들딸을 다시 불러들여 새로운 계략을 꾸민다.,7.5 (324k)
29,Encanto Sing-Along,"판타지, 애니메이션",(2022),It’s time to sing with La Familia Madrigal! Stream the Encanto Sing-Along this on Disney+!,7.7
30,엘튼 존 라이브: 페어웰 프롬 다저 스타디움,음악,(2022),"A once-in-a-lifetime live, global original concert event offering fans from around the world a front-row seat to witness the groundbreaking magic of the Rocket Man back at Dodger Stadium and showcasing Elton John as audiences have never seen him before, paying tribute to the icon and the seminal moment in 1975 that cemented his global success.",7.9
31,토고,"액션, 가족, Made in Europe, 역사, 드라마",(2019),"1925년 겨울, 최고의 썰매개 조련사인 레온하드 세팔라와 그의 개썰매팀 선두견 토고의 알려지지 않은 실화에 관한 영화다. 디프테리아 혈청을 작은 마을 '놈'으로 가져오기 위해 세팔라와 토고는 위험을 무릅쓰고 거친 알래스카 툰드라를 향한 감동적이고 희망찬 모험을 시작한다. 그리고 이것은 그들의 강인함과 용기, 결단력을 시험하는 여정이 된다.",7.9 (50k)
32,애비 로드: 전설을 품은 스튜디오,다큐멘터리,(2022),"애비 로드 스튜디오는 90년 넘게 음악 산업의 심장부로 자리매김됐다. 기억과 발견인 이 개인적인 영상에서, 메리 매카트니는 세상에서 가장 유명하고 가장 오래 이어져 온 스튜디오를 만드는 창조적인 마법을 보고 경험할 수 있는 90년 역사로 안내한다. 클래식에서 팝, 영화 음악, 힙합에 이르기까지, 'If These Walls Could Sing'은 애비 로드 스튜디오의 범위와 다양성, 창의력을 탐험한다. 뛰어난 아티스트, 프로듀서 작곡가 및 애비 로드의 헌신적인 엔지니어, 스태프들이 어떤 방식으로 음악 언어와 유대감을 찾았는지 친밀한 인터뷰를 통해 들여다본다. 한편 생생한 기록 영상과 세션 테이프는 시청자들이 은밀하기로 유명한 이 스튜디오에 접근할 특별한 기회를 선사한다.",7.2
33,토이 스토리 4,"애니메이션, 다큐멘터리, 코미디, 가족, 판타지",(2019),"앤디와 작별한 우디는 새로운 주인 보니와의 생활에 적응 중이다. 보니는 처음 간 유치원에서 불안한 마음을 달래고자 포크를 가지고 새 장난감 포키를 만든다. 쓰레기에서 장난감으로 거듭난 포키는 자꾸 쓰레기통으로 도망치려 하지만 우디는 보니를 위해 포키를 돌봐주기로 한다. 어느 날 가족여행으로 함께 떠난 놀이공원에서 포키가 납치되고, 포키를 구하기 위한 모험을 하던 중 우디는 우연히 오래 전 헤어진 친구 보핍을 만난다. 우디는 주인 없이 자유로운 삶을 살고 있는 보핍을 보며 마음이 흔들리기 시작하는데...",7.7 (233k)
34,라이즈,"드라마, 스포츠",(2022),"'라이즈'는 리그 역사상 처음으로 삼 형제 모두가 (밀워키 벅스의 야니스와 타나시스 아데토군보와 LA 레이커스의 코스타스 아데토큰보와 그의 동생 알렉스) NBA 챔피언이 된 놀라운 가족의 실화를 바탕으로 한 영화다. 이 엄청난 재능을 가진 나이지리아 출신 그리스인 가족의 이야기를 통해 신선함을 맛볼 수 있다. '라이즈'는 한 가족이 신념과 믿음만으로 불투명했던 미래를 개척하고, 세 명의 NBA 챔피언을 (MVP 2회의 야니스와 그의 형제들인 타나시스와 코스타스) 배출해 내는 과정을 잘 보여준다. 2021 시즌에서는 야니스와 타나시스의 활약으로 그동안 부진했던 벅스가 50년 만에 처음으로 우승을 했고, 코스타스는 그전년도 우승 팀이었던 LA 레이커스에서 뛰었다. 나이지이라에서 그리스로 이민을 간 베라와 찰스 아데토군보 부부는 국외 추방 위협을 무릅쓰고 다섯 아이를 키우며 힘들게 살아가고 있었다. 그들은 맏이를 나이지리아에 있는 친척들에게 맡겨둔 채, 그리스 시민권을 얻으려 노력했지만, 매번 자격 미달이라는 이유로 쓴맛을 봐야 했다. 형제들은 가족들과 아테네 거리에서 관광객들에게 물건을 파는 시간 외에는 지역 유스팀에서 농구를 하곤 했다. 그들은 농구를 늦게 시작했음에도 불구하고 엄청난 재능이 있다는 걸 알게 됐고, 세계적인 선수가 되기 위해 피땀을 흘렸다. 2013년에 야니스는 에이전트의 도움으로 희박한 가능성을 뚫고 NBA 드래프트에 선출됐고, 이 일로 가족 모두의 운명이 바뀌게 됐다.",7.0 (7k)
35,웨어울프 바이 나이트 비하인드,다큐멘터리,(2022),"뉴저지 에지워터파크라는 작은 동네에서 자라면서 큰 꿈을 품었던 지아키노 형제. 마이클은 슈퍼 8 카메라로 영화를 만들며 십 대 시절을 보냈고, 앤서니는 언제나 녹음기로 현재를 기록하며 과거의 기록을 간직했다. 마이클은 21세기의 가장 유명한 영화 음악가 중 한 명이 되었고, 앤서니는 다큐멘터리 감독으로 성공했다. 두 사람 모두 자기 분야에서 아카데미상도 수상했다. 그리고 이제 마블 스튜디오 《웨어울프 바이 나이트》로 첫 감독 데뷔작을 준비하는 마이클. 앤서니는 그러한 형의 여정을 다큐멘터리로 제작하며, 그들이 함께 자란 고향과 어릴 적 영화를 같이 만들었던 친구들이 마이클의 영화 세계에 얼마나 큰 영향을 끼쳤는지 보여준다.",7.0
36,엔칸토: 마법의 세계,"애니메이션, 코미디, 가족, 판타지, 드라마",(2021),"콜롬비아의 깊은 산 속, 놀라운 마법과 활기찬 매력이 넘치는 세계 엔칸토. 이곳을 만든 장본인은 마드리갈 가문의 기둥인 알마 할머니다. 그녀는 젊었을 때 세 쌍둥이를 데리고 이곳으로 오던 중에 위기를 맞았다. 그때 그녀가 들고 있던 촛불에 기적이 일어났고 그이후로 마법의 능력이 손주 세대까지 대물림된다. 3대에 걸친 이대가족은 음식으로 병을 고치는 능력, 꽃을 피우는 능력, 날씨를 조종 하는 능력 등 저마다 독특한 능력을 지니게 됐다. 하지만 가족 중 유일하게 미라벨만 아무런 능력이 없다. 어느 날 엔칸토가 지닌 마법의 힘이 위험에 처하고 가족들은 점차 자신의 능력을 잃어가기 시작한다. 이를 감지한 미라벨은 유일하게 평범한 자신이 특별한 이 가족의 마지막 희망일지 모른다고 생각하는데...",7.2 (229k)
37,전염병의 첫번째 파도,"다큐멘터리, 역사, 드라마",(2021),2020년 3월부터 6월까지 뉴욕시의 한 병원을 배경으로 코로나 바이러스로 인해 중환자실에 입원한 위중 환자들과 그들의 생명을 구하기 위해 사투를 벌이는 의료진에 관한 이야기다. 죽음의 기로에 서 있는 중환자들의 고통과 위험을 감수하면서 그들을 필사적으로 돌보는 의료진의 모습이 처절하면서도 생생하게 그려진다.,7.0
38,온워드: 단 하루의 기적,"코미디, 애니메이션, 판타지, 드라마, 가족",(2020),"마법이 사라진 세상, 달라도 너무 다른 두 형제인 용기부족 동생 이안과 의욕충만 형 발리. 이안은 16세 생일날, 엄마에게서 돌아가신 아빠의 선물인 마법봉을 받고 뜻하지 않게 아빠의 반쪽만 소환시키게 되는 상황에 처한다. 아빠의 온전한 모습을 만나기 위해 두 형제에게 주어진 미션. 마법이 통하는 주어진 시간은 단 하루, 두 형제는 모험을 통해 완벽한 아빠의 모습을 만나는 기적을 만들 수 있을까?",7.4 (153k)
39,아마존의 수호자,다큐멘터리,(2022),브라질 아마존에서는 비원주민 농부들이 보호지역의 삼림 벌목을 강행하고 숲을 태우면서 땅을 무단 점거하는 파괴가 계속되고 있다. ⟨아마존의 수호자⟩는 이러한 토지 약탈에 맞서는 우루에우와우와우 부족의 지칠 줄 모르는 투쟁을 보여주면서 열대우림이 직면한 문제를 정면으로 다룬다. 아마존 파괴의 진실을 폭로하기 위해 우루에우와우와우 사람들이 목숨을 걸고 3년에 걸쳐 직접 촬영한 생생한 영상이 담겨있는 이 작품은 인물들과 밀착해 사건을 따라가는 현장감 넘치는 장면들을 통해 관객을 아마존 깊숙한 곳으로 안내한다.,7.5
40,고장난 론,"애니메이션, SF, 가족, 코미디",(2021),"최첨단 소셜 AI 로봇 비봇이 모든 아이들의 친구가 되는 세상. 비봇을 갖는 것이 유일한 소원인 소심한 소년 바니에게도 드디어 론이라는 비봇이 생겼다. 그러나 첨단 디지털 기능과 소셜 미디어로 연결된 다른 비봇들과는 달리, 네트워크 접속이 불가능한 고장난 론. 자유분방하고 엉뚱한 론으로 인해 벌어지는 엉망진창, 스릴 넘치는 모험을 함께하며 바니는 진실한 우정이 무엇인지 점점 깨닫게 되는데..",7.0 (35k)
