,제목,장르,년도,줄거리,평점,연령 등급
10,인비저블 게스트,"드라마, 스릴러, 범죄, Made in Europe",(2017),"의문의 습격으로 살해 당한 ‘로라’ ‘아드리안’은 연인의 죽음에 절망하고, 범인은 흔적도 없이 사라졌다. 유력한 용의자로 누명을 쓴 ‘아드리안’은 승률 100%의 변호사 ‘버지니아’를 선임한다. 그리고 자신의 무죄를 입증하기 위해 고군분투하던 중 과거 그와 ‘로라’가 은폐한 교통사고와 숨겨진 연관성을 찾게 되는데… 남은 시간은 단 3시간, 사건을 재구성해 무죄를 입증해야 한다!",8.0 (180k),15
11,스탠 바이 미,드라마,(1986),"오레곤주의 작은 마을 캐슬록. 섬세한 성격으로 문학에 소질이 있는 고디, 알콜 중독인 아버지 밑에서 갑갑한 생활을 하지만 타고난 리더쉽으로 동네 꼬마들을 지휘하는 크리스, 2차대전의 영웅이었던 아버지를 존경하는 열정의 소년 테디, 착한 꼬마 뚱보 번은 이 마을에서 사는 단짝 친구들이다. 어느 날 번은 패거리들에게 며칠 전 행방불명된 소년의 시체가 저멀리 숲속에 있다는 소식을 전해준다. 만약 시체를 찾아낸다면 마을의 영웅이 되는 것. 네 명의 소년은 호기심과 모험심을 억누르지 못하고 숲을 향해 여행을 떠난다.",8.1 (410k),15+
12,기생충,"코미디, 스릴러, 드라마, 공포",(2019),"전원 백수로 살 길 막막하지만 사이는 좋은 기택 가족. 장남 기우에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박 사장 집으로 향하는 기우. 글로벌 IT기업의 CEO인 박 사장의 저택에 도착하자 젊고 아름다운 사모님 연교와 가정부 문광이 기우를 맞이한다. 큰 문제 없이 박 사장의 딸 다혜의 과외를 시작한 기우. 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있는데.....",8.5 (828k),15
13,콰이어트 플레이스 2,"스릴러, 공포, 드라마, SF",(2021),"실체를 알 수 없는 괴생명체의 공격으로 일상의 모든 것이 사라진 세상, 아이들 대신 죽음을 선택한 아빠의 희생 이후 살아남은 가족들은 위험에 노출된다. 갓 태어난 막내를 포함한 아이들과 함께 소리 없는 사투를 이어가던 엄마 에블린은 살아남기 위해 새로운 은신처를 찾아 집 밖을 나서지만, 텅 빈 고요함으로 가득한 바깥은 더 큰 위험이 도사리고 있다. 이들은 과연 고요함으로 가득한 세상 속을 무리 없이 걸어나갈 수 있을까.",7.2 (239k),15
14,곡성,"공포, 드라마, 스릴러",(2016),"낯선 외지인이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만 모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 종구는 현장을 목격했다는 여인 무명을 만나면서 외지인에 대한 소문을 확신하기 시작한다. 딸 효진이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 종구. 외지인을 찾아 난동을 부리고, 무속인 일광을 불러들이는데...",7.5 (63k),15
15,프리즌 77,"드라마, 스릴러",(2022),"총통이 사망하고 몇 달 후인 1997년, 바르셀로나의 라 모델로 감옥은 대혼란에 빠지게 된다. 절도 혐의로 형을 길게 선고받은 회계사 '마누엘'은 절망하던 중 정부에게 사면 요청을 요구하는 노조에 합류 제안을 받는다. 감옥 내 부당함을 느끼던 '마누엘'도 가입하게 되고 노조 운동은 점차 시민과 변호사의 지지를 받으며 전국적으로 정부와 대립하게 된다. 그들의 자유를 위한 투쟁은 스페인 교도소의 시스템을 송두리째 뒤흔들게 되는데...",7.0 (1k),15
16,더 웨일,드라마,(2022),"272kg의 거구로 세상을 거부한 채 살아가는 대학 강사 찰리는 남은 시간이 얼마 없음을 느끼고 오랫동안 만나지 못한 10대 딸 엘리를 집으로 초대한다. 그리고, 매일 자신을 찾아와 에세이 한 편을 완성하면 전 재산을 주겠다고 제안한다.",7.8 (74k),15
17,더 베스트 오브 에너미즈,"드라마, 역사",(2019),"70 년대 초 노스캐롤라이나주에서 일어난 시민 운동가인 앤 애트워터와 인종차별주의자 클레이본 폴 엘리스의 이야기에 초첨을 맞춘 책 , 오샤 그레이 데이비슨의 “Race and Redemption in the New South” 를 바탕으로 하고 있다 . 앤 애트워터는 하녀 출신에서 사회운동가가 되었으며 클레이본 폴 엘리스는 가난한 백인 노동 계급을 대신하여 도시회의에 참석 하기 시작 하였던 노동자 였으며 , 두 사람은 법원에서 명령한 인종차별 폐지 정책을 가지고 만나게 되면서 펼처지는 이야기 입니다.",7.3 (17k),12+
18,미션 임파서블,"스릴러, 액션",(1996),동유럽 첩보원들의 비밀 명단을 훔쳐 무기상에 팔아 넘기려는 음모를 막기 위해 짐 펠프스가 이끄는 CIA 최고의 팀 미션 임파서블이 투입된다. 그러나 대사관 파티에 잠입하여 동료들과 함께 작전을 수행하던 중 팀의 리더였던 이단 헌트만이 구사일생으로 혼자 살아 남는다. 곧 이어 본부에 연락을 취한 헌트는 이번 작전이 CIA 내에 침투한 이중간첩의 체포작전이라는 것과 자신이 범인으로 지목된 것을 알고 재빨리 피신한다. 그는 자신을 함정에 빠뜨리고 동료들을 살해한 진짜 범인을 찾기 위해 나선다. 마침내 그는 컴퓨터의 접속암호를 풀어 무기 밀매상인 맥스와 연락을 취하는데...,7.1 (434k),15
19,TAR 타르,"드라마, 음악",(2022),"전 세계적으로 인정받는 이 시대 최고의 지휘자이자 베를린 필하모닉 최초의 여성 수석 지휘자로 커리어의 정점에 서 있는 리디아 타르. 말러 교향곡 녹음 음반 발매와 자서전 발간을 동시에 앞두고 있는 그에게 자신이 설립한 아코디언 재단의 회원이었던 크리스타로부터 이상한 이메일이 도착하고, 이후 크리스타의 자살 소식을 접한 그는 불안에 사로잡히게 되는데... 무대를 장악하는 마에스트로, 욕망을 불태우는 괴물, 베를린 필하모닉 최초의 여성 지휘자 리디아 타르. 이 이야기는 그녀의 정점에서 시작된다.",7.5 (52k),15
20,평행이론: 도플갱어 살인,"SF, 다큐멘터리, 스릴러, 공포, 드라마",(2014),"파티를 위해 오랜만에 모인 친구들 즐거운 시간을 보내던 중 혜성 충돌로 도시 전체가 정전 사태에 빠지고, 핸드폰 마저 먹통이 되자 모두 이상한 낌새를 느낀다. 설상가상 어둠에 갇힌 그들은 누군가로부터 위협을 받게 되고, 도움을 청하기 위해 몇 명의 친구들이 이웃집으로 향한다. 하지만 그곳에서 발견한 것은 다름 아닌 자기 자신! 보고도 믿지 못할 상황에 충격에 빠진 그들은 살아남기 위해 그 누구도 믿을 수 없게 되고, 살기 위해 또 다른 나와의 싸움을 벌여야 하는데…",7.2 (132k),15+
21,조커,"스릴러, 드라마, 범죄",(2019),"홀어머니와 사는 아서 플렉은 코미디언을 꿈꾸지만 그의 삶은 좌절과 절망으로 가득 차 있다. 광대 아르바이트는 그에게 모욕을 가져다주기 일쑤고, 긴장하면 웃음을 통제할 수 없는 신경병 증세는 그를 더욱 고립시킨다. 정부 예산 긴축으로 인해 정신과 약물을 지원하던 공공의료 서비스마저 없어져 버린 어느 날, 아서는 지하철에서 시비를 걸어온 증권사 직원들에게 얻어맞던 와중에 동료가 건네준 권총으로 그들을 쏴 버리고 만다. 군중들은 지배계급에 대한 저항의 아이콘이 된 그를 추종하기 시작하며 광대 마스크로 얼굴을 가리고 거리로 쏟아져 나오기 시작하는데...",8.4 (1m),15
22,더 배트맨,"스릴러, SF, 액션, 범죄, 드라마",(2022),"지난 2년 간 고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인. 알프레드와 제임스 고든 경위의 도움 아래 그는 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다. 고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자, 최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼, 펭귄, 카마인 팔코네, 리들러를 차례대로 만난다. 사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고, 리들러에게 농락 당한 배트맨은 광기에 사로잡힌다. 범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만, 부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등하는데...",7.8 (679k),15
23,Get Out,"스릴러, 공포",(2017),크리스와 그의 여자친구 로즈는 주말을 맞아 로즈의 부모님 집을 방문한다. 가족들의 과한 친절이 그저 딸이 흑인 남자친구를 데려왔기 때문이라고 생각한 크리스. 하지만 머무는 시간이 길어질수록 이상한 점을 한 두가지씩 발견하는데... 그가 상상도 못한 진실이 기다리고 있었다.,7.7 (628k),15
24,핵소 고지,"드라마, 역사, 전쟁",(2016),비폭력주의자인 도스는 전쟁으로부터 조국과 소중한 사람들을 지키기 위해 총을 들지 않아도 되는 의무병으로 육군에 자진 입대한다. 총을 들 수 없다는 이유로 필수 훈련 중 하나인 총기 훈련 마저 거부한 도스는 동료 병사들과 군 전체의 비난과 조롱을 받게 된다. 결국 군사재판까지 받게 되지만 끝까지 자신의 신념을 굽히지 않은 도스에게 군 상부는 오키나와 전투에 총기 없이 의무병으로 참전할 것을 허락하는데…,8.1 (538k),15
25,밀리언 달러 베이비,"드라마, 스포츠",(2004),"딸과의 관계가 소원해진 채 혼자 낡은 체육관을 운영하며 권투 선수들을 키우는 프랭키(클린트 이스트우드)에게 매기(힐러리 스웽크)가 찾아온다. 선수로 키워 달라는 말에 프랭키는 30살이 넘은 여자라는 이유로 매몰차게 거절하지만 매기는 계속 체육관에 와서 연습하길 멈추지 않는다. 선수 때 한쪽 눈을 잃고 지금은 프랭키 체육관의 청소부로 일하며 지내는 스크랩(모건 프리먼)이 조금씩 매기를 돕는다. 매기의 열의에 못이긴 척 프랭키는 트레이너가 되어 함께 경기에 나가며 점점 가까워진다. 항상 자신을 보호하라는 가르침 속에 훈련은 계속되고 마침내 챔피언 쟁탈전에 나가지만, 상대방 선수의 반칙으로 매기는 크게 다치게 되는데...",8.1 (693k),12+
26,더 로드,"액션, 드라마, 판타지, Made in Europe",(2009),"하루아침에 잿더미로 변해버린 세계, 식량은 바닥났고 사람들은 서로가 서로를 두려워하며 죽이거나 죽는 상황에서 살아남은 아버지와 아들은 굶주림과 혹한을 피해 남쪽으로 길을 떠난다. 그곳이 무엇을 약속하는 땅인지는 알 수 없다. 그래도 가야 한다. 한순간도 쉽지 않다. 사람을 뜯어먹는 잔인한 무리를 만나는가 하면, 먹을 것이 풍부한 지하 대피소를 발견한다 해도 안전을 위해 곧 떠나야 한다. 무섭다며 자신의 품을 파고 드는 아들(코디 스미스 맥피) 때문에 아버지(비고 모텐슨)는 카트에 실린 약간의 물과 기름, 식량을 누군가에게 뺏기지 않을까 한 순간도 방심할 수 없다. 그들은 과연 따뜻한 남쪽 바닷가에 무사히 도착할 수 있을까?",7.2 (243k),15
27,유전,"공포, 스릴러, 드라마",(2018),"애니는 일주일 전 돌아가신 엄마의 유령이 집에 나타나는 것을 느낀다. 애니가 엄마와 닮았다며 접근한 수상한 이웃 조안을 통해 엄마의 비밀을 발견하고, 자신이 엄마와 똑같은 일을 저질렀음을 알게 된다. 그리고 마침내 애니의 엄마로부터 시작돼 아들 피터와 딸 찰리에게까지 이어진 저주의 실체가 정체를 드러내는데…",7.3 (331k),15
28,다음 소희,"드라마, 스릴러",(2023),"소희는 고등학교 졸업을 앞두고 인터넷 회사 콜센터에 현장실습생으로 취직한다. 소녀는 대기업에 취직했다며 들뜨지만, 실상은 기대와 다르다. 노동 착취가 예사로 일어나는 콜센터는 그야말로 노동 지옥이다. 그곳의 잔인한 현실은 암울한 사고로 이어지고, 형사 유진은 악착같이 진실을 좇는다. 그러나 부조리한 사회 시스템 앞에서 그녀는 무력함을 절감한다",7.4,15
29,레버넌트: 죽음에서 돌아온 자,"서부, 드라마, 액션, 역사",(2016),"서부 개척시대 이전인 19세기 아메리카 대륙, 전설적인 모피 사냥꾼인 휴 글래스 는 아들 호크를 데리고 동료들과 함께 사냥하던 중 회색곰에게 습격 당해 사지가 찢긴다. 하지만 돈에 눈이 먼 비정한 동료 존 피츠 제럴드 는 아직 살아 있는 휴를 죽이려 하고, 아들 호크가 이에 저항하자 호크마저 죽인 채 숨이 붙어 있는 휴를 땅에 묻고 떠난다. 눈 앞에서 하나뿐인 아들의 죽음을 목격한 휴는 처절한 복수를 위해 부상 입은 몸으로 배신자 존 피츠제럴드의 뒤를 쫓아 300km가 넘는 광활하고 거친 야생에서 인간의 한계에 도전하는데...",8.0 (817k),15
30,트루먼 쇼,"코미디, 드라마, SF",(1998),"트루먼 버뱅크는 작고 조용한 섬마을에 사는 평범한 세일즈맨이다. 그런 그가 자신의 삶에 대해 의문을 갖기 시작한 것은 평소와 다름없이 평범한 어느 날, 갑자기 하늘에서 촬영용 조명등이 떨어지고, 어렸을 적 자신이 익사를 직접 목격했던 아버지가 살아오고, 또 누군가에 의해 끌려가는 등 상식 밖의 일들이 벌어지고 나서부터였다. 평생을 그다지 신경쓰지 않고 지냈던 일상이었지만 주변을 보니 이상한 일이 너무 많았다. 결국 자신이 특별한 상황에 놓여있다는 확신을 하게된 트루먼은 첫사랑 실비아의 모든 것이 다 거짓라는 말을 되새기며 일상으로부터 탈출을 결심하게 되는데...",8.2 (1m),15+
31,블레이드 러너 2049,"SF, 스릴러, 액션, 드라마",(2017),"인간과 리플리컨트가 혼재된 2049년. 인간의 통제를 벗어난 리플리컨트를 쫓는 블레이드 러너 K는 임무 수행 도중 약 30년 전 여자 리플리컨트의 유골을 발견하고 충격적으로 출산의 흔적까지 찾아낸다. 리플리컨트가 출산까지 가능하다는 사실이 알려지면사회에 큰 혼란이 야기되므로 이를 덮으려는 경찰 조직과, 그 비밀의 단서를 찾아내 더욱 완벽한 리플리컨트를 거느리고 세상을 장악하기 위해 K를 쫓는 니안더 월레스. 리플리컨트의 숨겨진 진실에 접근할수록 점차 정체성의 혼란을 겪게 되는 K는 과거 블레이드 러너였던 릭 데커드를 만나 전혀 상상치 못한 진실을 마주하게 되는데...",8.0 (589k),15
32,나이브스 아웃: 글래스 어니언,"스릴러, 코미디, 범죄, 드라마",(2022),가장 아끼는 친구들을 본인의 사유지인 그리스의 섬으로 초대한 IT계의 억만장자 마일스 브론. 하지만 머지않아 이곳이 마냥 낙원이 아니라는 사실이 드러난다.,7.2 (354k),15
33,드라이브 마이 카,드라마,(2021),"누가 봐도 아름다운 부부 가후쿠와 오토. 우연히 아내의 외도를 목격한 가후쿠는 이유를 묻지 못한 채 갑작스럽게 아내의 죽음을 맞이하게 된다. 2년 후 히로시마의 연극제에 초청되어 작품의 연출을 하게 된 가후쿠. 그는 그곳에서 자신의 전속 드라이버 미사키를 만나게 된다. 말없이 묵묵히 가후쿠의 차를 운전하는 미사키와 오래된 습관인 아내가 녹음한 테이프를 들으며 대사를 연습하는 가후쿠. 조용한 차 안에서 두 사람은 점점 마음을 열게 되고, 서로가 과거의 아픔에서 벗어나지 못한 것을 알게 된다. 그리고 눈 덮인 홋카이도에서 내면에 깊숙이 자리 잡은 서로의 슬픔을 들여다보게 되는데….",7.6 (54k),15
34,슬픔의 삼각형,"코미디, 드라마",(2022),부유한 패션 모델과 인스타그램 인플루언서 커플 등이 호화 유람선에 올라탄 뒤 이 배가 좌초되면서 유일하게 낚시를 할 줄 아는 청소부를 중심으로 계급관계가 반전되는 이야기,7.4 (97k),15
35,큐어,"공포, 스릴러, 범죄",(1997),"도쿄 지역에서 동일한 방식의 엽기적인 연쇄 살인사건이 발생한다. 놀라운 것은 체포된 범인들이 하나같이 회사원, 교사, 경찰, 의사 등 평범한 사람들이라는 것. 평소 아무 문제가 없던 사람들이 똑같은 방식으로 살인을 저지른 것에 의문을 품은 다카베 형사(야쿠쇼 고지)는 이들이 모두 한 남자를 만난 후 범행을 저질렀다는 사실을 알게 된다.",7.4 (17k),15+
36,프라미싱 영 우먼,"범죄, 드라마, 스릴러, 코미디",(2020),7년 전 의대를 중퇴하고 카페에서 일하는 카산드라는 남성이 몸을 가누기 힘들어하는 자신에게 접근해 합의되지 않은 성관계를 시도하려고 할 때 다시 취하지 않은 모습으로 돌아와 남성을 혼란에 빠뜨리고 밖으로 나와 버린다. 그가 이런 위험한 연극을 반복해온 데는 이유가 있다. 그 사연은 우연히 가게에 라이언이 방문해 카산드라에게 데이트를 신청하면서 점점 수면 위로 떠오른다.,7.5 (180k),15
37,엘비스,"역사, 드라마, 음악",(2022),"트럭을 몰던 무명가수 엘비스가 그를 한 눈에 알아 본 스타메이커 ‘톰 파커’를 만나 단 하나의 전설이 되기까지 전 세계를 뜨겁게 달군 음악과 무대, 그보다 더 뜨거웠던 삶을 그린 이야기.",7.3 (189k),15+
38,12 몽키즈,"스릴러, SF",(1996),"서기 2035년, 미래의 인류는 바이러스 감염으로 인해 99%가 멸망하고 소수의 생존자들은 지상에서의 생활을 포기한 채 지하 세계에서 생활하게 된다. 감옥에 수감되어 있는 제임스 콜(브루스 윌리스)은 과학자들의 사면 제의를 받고 바이러스가 퍼지게 된 1996년으로 보내진다. 그러나 착오로 인해 1990년으로 보내지고 그곳에서 정신 병원에 수감된다. 그는 곧 인류가 바이러스에 의해 멸망할 것이라고 설득하지만 아무도 그의 말을 믿으려 하지 않는데, 그의 담당의사인 캐서린 레일리(매들린 스토우) 박사는 그를 치료하면서 어디서 본 것 같은 느낌을 갖는다.",8.0 (624k),15
39,퀸카로 살아남는 법,"코미디, 드라마",(2004),동물학자인 아버지를 따라 아프리카에서 성장한 케이디 (린제이 로한 분)는 일리노이즈의 고등 학교로 전학을 오게 된다. 케이디가 전학 온 고등학교에는 레지나(레이첼 맥아담스 분) 라는 퀸카가 그녀의 매력을 주무기로 학교의 여왕으로 군림을 하고 있었다. 레지나는 케이디가 지닌 미모와 지성이 자신이 누리고 있는 교내 '여왕벌'의 위치를 위협할 수 있다고 판단하고 그녀를 감시할 목적으로 케이디에게 접근을 하여 둘은 친구가 된다. 케이디는 수학시간에 만난 남학생 애런 사무엘 (조나단 베넷 분) 에게 한눈에 반하여 그와 사귀려는 노력을 하지만 그는 바로 레지나의 헤어진 남자 친구였다. 케이디가 애런에게 관심이 있는 것을 안 레지나는 고의로 그들의 사이를 방해하고 케이디에게 모욕감을 느끼게 한다. 이 일을 계기로 케이디는 레지나를 극도로 미워하게 되고 둘 사이에는 서로상대를 꺽기 위한 숨막히는 권모술수가 동원된 팽팽한 대결이 시작되는데.,7.1 (393k),15+
40,화양연화,"드라마, 로맨스",(2000),"홍콩의 지역 매일 신문 편집장인 초 모완, 수출회사의 비서로 근무하는 수 리첸. 둘은 상하이 지역의 한 건물로 같은 날 이사하게 된다. 이사 날부터 의도치 않게 오가며 자주 부딪히게 되는 두 사람. 둘 다 가정이 있지만 어쩐지 배우자들은 자리를 비우는 날이 더 많고 두 사람의 외로움은 서로에게 낯설지 않게 다가와 둘을 가깝게 한다. 두 사람은 점점 감정이 깊어질수록 겉으로는 더욱 조심스러워지고 예견되어 있는 이별 앞에 마음이 혼란스럽고, 서로의 자리에서 마음으로 바라는 그들의 사랑은 애절하기만 하다.",8.1 (142k),15
41,월드워Z,"액션, 드라마, 공포, SF, 스릴러",(2013),"세계 곳곳에서 원인을 알 수 없는 이변이 일어나기 시작하고, 정체 불명의 존재들의 무차별적 공격으로 도시는 순식간에 아수라장으로 변한다. 군인 출신으로 전시 경험이 풍부하고 위기 대처 능력이 뛰어난 전직 UN 소속 조사관 제리는 위험한 상황에서 가까스로 가족들과 탈출하는데 성공하고 이제껏 본 적 없는 인류 최대의 위기 앞에 대재난에 맞설 최후의 적임자로 지목된다. 마침내 제리는 전 세계를 위협하는 거대한 정체들과 직면하게 되고, 그들의 끊임없는 공격에 맞서 필사의 사투를 벌이게 되는데...",7.0 (679k),15
42,터미네이터 2: 심판의 날,"스릴러, 액션, SF",(1991),"미래, 인류와 기계의 전쟁은 계속 되는 가운데 스카이넷은 인류 저항군 사령관 존 코너를 없애기 위해 액체 금속형 로봇인 T-1000(로버트 패트릭)을 과거의 어린 존 코너에게로 보낸다. 형태의 변신과 자가 치유까지 가능한 T-1000에 대항하고 존 코너를 지키기 위해 인류 저항군은 T-101(아놀드 슈왈제네거)을 과거로 급파한다. 미래의 인류 운명을 쥔 어린 존 코너, 그를 구해내지 않으면 인류의 미래는 없다. 반드시 제거해야 하는 스카이넷의 T-1000은 거침없이 존 코너 일행을 위협하며 숨가쁜 추격을 시작하는데...",8.6 (1m),15
